author,episode_number,episode_title,quote,season
Monica,1.0,Monica Gets A Roommate,There's nothing to tell! He's just some guy I work with!,1.0
Joey,1.0,Monica Gets A Roommate,"C'mon, you're going out with the guy! There's gotta be something wrong with him!",1.0
Chandler,1.0,Monica Gets A Roommate,"All right joey, be nice. So does he have a hump? A hump and a hairpiece?",1.0
Phoebe,1.0,Monica Gets A Roommate,"Wait, does he eat chalk?",1.0
Phoebe,1.0,Monica Gets A Roommate,"Just, 'cause, I don't want her to go through what I went through with carl- oh!",1.0
Monica,1.0,Monica Gets A Roommate,"Okay, everybody relax. This is not even a date. It's just two people going out to dinner and- not having sex.",1.0
Chandler,1.0,Monica Gets A Roommate,Sounds like a date to me.,1.0
Chandler,1.0,Monica Gets A Roommate,"Alright, so I'm back in high school, I'm standing in the middle of the cafeteria, and I realize I am totally naked.",1.0
Chandler,1.0,Monica Gets A Roommate,"Then I look down, and I realize there's a phone... There.",1.0
Joey,1.0,Monica Gets A Roommate,Instead of...?,1.0
Chandler,1.0,Monica Gets A Roommate,That's right.,1.0
Joey,1.0,Monica Gets A Roommate,Never had that dream.,1.0
Chandler,1.0,Monica Gets A Roommate,"All of a sudden, the phone starts to ring. Now I don't know what to do, everybody starts looking at me.",1.0
Monica,1.0,Monica Gets A Roommate,And they weren't looking at you before?!,1.0
Chandler,1.0,Monica Gets A Roommate,"Finally, I figure I'd better answer it, and it turns out it's my mother, which is very-very weird, because- she never calls me!",1.0
Joey,1.0,Monica Gets A Roommate,"This guy says hello, I wanna kill myself.",1.0
Monica,1.0,Monica Gets A Roommate,"Are you okay, sweetie?",1.0
Ross,1.0,Monica Gets A Roommate,"I just feel like someone reached down my throat, grabbed my small intestine, pulled it out of my mouth and tied it around my neck...",1.0
Monica,1.0,Monica Gets A Roommate,Carol moved her stuff out today.,1.0
Monica,1.0,Monica Gets A Roommate,Let me get you some coffee.,1.0
Ross,1.0,Monica Gets A Roommate,"No, no don't! Stop cleansing my aura! No, just leave my aura alone, okay?",1.0
Phoebe,1.0,Monica Gets A Roommate,Fine! Be murky!,1.0
Ross,1.0,Monica Gets A Roommate,"I'll be fine, alright? Really, everyone. I hope she'll be very happy.",1.0
Monica,1.0,Monica Gets A Roommate,No you don't.,1.0
Ross,1.0,Monica Gets A Roommate,"No I don't, to hell with her, she left me!",1.0
Joey,1.0,Monica Gets A Roommate,And you never knew she was a lesbian...,1.0
Ross,1.0,Monica Gets A Roommate,"No!! Okay?! Why does everyone keep fixating on that? She didn't know, how should I know?",1.0
Chandler,1.0,Monica Gets A Roommate,Sometimes I wish I was a lesbian... Did I say that out loud?,1.0
Ross,1.0,Monica Gets A Roommate,"I told mom and dad last night, they seemed to take it pretty well.",1.0
